,,spre1,spre2,spre3,spre4,spre5,spre6
Ahaus,spost1,1,1,1,1,1,0
Ahaus,spost2,0,0,0,0,0,0
Ahaus,spost3,0,0,0,0,0,0
Ahaus,spost4,0,0,0,0,0,0
Ahaus,spost5,0,0,0,0,0,0
Ahaus,spost6,0,0,0,0,0,0
Ahaus,spost7,0,0,0,0,0,0
Ahaus,spost8,0,0,0,0,0,0
Ahaus,spost9,0,0,0,0,0,0
Ahaus,spost10,0,0,0,0,0,0
Ahaus,spost11,0,0,0,0,0,0
Ahaus,spost12,0,0,0,0,0,0
Ahaus,spost13,0,0,0,0,0,0
Ahaus,spost14,0,0,0,0,0,0
Ahaus,spost15,0,0,0,0,0,0
Ahaus,spost16,0,0,0,0,0,0
Ahaus,spost17,0,0,0,0,0,0
Ahaus,spost18,0,0,0,0,0,0
Ahaus,spost19,0,0,0,0,0,0
Ahaus,spost20,0,0,0,0,0,0
Ahaus,spost21,0,0,0,0,0,0
Ahaus,spost22,0,0,0,0,0,0
Ahaus,spost23,0,0,0,0,0,0
Ahaus,spost24,0,0,0,0,0,0
Ahaus,spost25,0,0,0,0,0,0
Ahaus,spost26,0,0,0,0,0,0
Ahaus,spost27,0,0,0,0,0,0
Ahaus,spost28,0,0,0,0,0,0
Ahaus,spost29,0,0,0,0,0,0
Ahaus,spost30,0,0,0,0,0,0
Ahaus,spost31,0,0,0,0,0,0
Ahaus,spost32,0,0,0,0,0,0
Ahaus,spost33,0,0,0,0,0,0
Ahaus,spost34,0,0,0,0,0,0
Ahaus,spost35,0,0,0,0,0,0
Ahaus,spost36,0,0,0,0,0,0
Ahaus,spost37,0,0,0,0,0,0
Ahaus,spost38,0,0,0,0,0,0
Ahaus,spost39,0,0,0,0,0,0
Ahaus,spost40,0,0,0,0,0,0
Ahaus,spost41,0,0,0,0,0,0
Ahaus,spost42,0,0,0,0,0,0
Ahaus,spost43,0,0,0,0,0,0
Ahaus,spost44,0,0,0,0,0,0
Ahaus,spost45,0,0,0,0,0,0
Ahaus,spost46,0,0,0,0,0,0
Ahaus,spost47,0,0,0,0,0,0
Ahaus,spost48,0,0,0,0,0,0
Ahaus,spost49,0,0,0,0,0,0
Ahaus,spost50,0,0,0,0,0,0
Ahaus,spost51,0,0,0,0,0,0
Ahaus,spost52,0,0,0,0,0,0
Ahaus,spost53,0,0,0,0,0,0
Ahaus,spost54,0,0,0,0,0,0
Ahaus,spost55,0,0,0,0,0,0
Beckum,spost1,1,1,1,1,1,0
Beckum,spost2,0,0,0,0,0,0
Beckum,spost3,0,0,0,0,0,0
Beckum,spost4,0,0,0,0,0,0
Beckum,spost5,0,0,0,0,0,0
Beckum,spost6,0,0,0,0,0,0
Beckum,spost7,0,0,0,0,0,0
Beckum,spost8,0,0,0,0,0,0
Beckum,spost9,0,0,0,0,0,0
Beckum,spost10,0,0,0,0,0,0
Beckum,spost11,0,0,0,0,0,0
Beckum,spost12,0,0,0,0,0,0
Beckum,spost13,0,0,0,0,0,0
Beckum,spost14,0,0,0,0,0,0
Beckum,spost15,0,0,0,0,0,0
Beckum,spost16,0,0,0,0,0,0
Beckum,spost17,0,0,0,0,0,0
Beckum,spost18,0,0,1,0,0,0
Beckum,spost19,0,0,0,0,0,0
Beckum,spost20,0,0,0,0,0,0
Beckum,spost21,0,0,0,0,0,0
Beckum,spost22,0,0,0,0,0,0
Beckum,spost23,0,0,0,0,0,0
Beckum,spost24,0,0,0,0,0,0
Beckum,spost25,0,0,0,0,0,0
Beckum,spost26,0,0,0,0,0,0
Beckum,spost27,0,0,0,0,0,0
Beckum,spost28,0,0,0,0,0,0
Beckum,spost29,0,0,0,0,0,0
Beckum,spost30,0,0,0,0,0,0
Beckum,spost31,0,0,0,0,0,0
Beckum,spost32,0,0,0,0,0,0
Beckum,spost33,0,0,0,0,0,0
Beckum,spost34,0,0,0,0,0,0
Beckum,spost35,0,0,0,0,0,0
Beckum,spost36,0,0,0,0,0,0
Beckum,spost37,0,0,0,0,0,0
Beckum,spost38,0,0,0,0,0,0
Beckum,spost39,0,0,0,0,0,0
Beckum,spost40,0,0,0,0,0,0
Beckum,spost41,0,0,0,0,0,0
Beckum,spost42,0,0,0,0,0,0
Beckum,spost43,0,0,0,0,0,0
Beckum,spost44,0,0,0,0,0,0
Beckum,spost45,0,0,0,0,0,0
Beckum,spost46,0,0,0,0,0,0
Beckum,spost47,0,0,0,0,0,0
Beckum,spost48,0,0,0,0,0,0
Beckum,spost49,0,0,0,0,0,0
Beckum,spost50,0,0,0,0,0,0
Beckum,spost51,0,0,0,0,0,0
Beckum,spost52,0,0,0,0,0,0
Beckum,spost53,0,0,0,0,0,0
Beckum,spost54,0,0,0,0,0,0
Beckum,spost55,0,0,0,0,0,0
Bruehl,spost1,1,1,1,1,1,0
Bruehl,spost2,0,0,0,0,0,0
Bruehl,spost3,0,0,0,0,0,0
Bruehl,spost4,0,0,0,0,0,0
Bruehl,spost5,0,0,0,0,0,0
Bruehl,spost6,0,0,0,0,0,0
Bruehl,spost7,0,0,0,0,0,0
Bruehl,spost8,0,0,0,0,0,0
Bruehl,spost9,0,0,0,0,0,0
Bruehl,spost10,0,0,0,0,0,0
Bruehl,spost11,0,0,0,0,0,0
Bruehl,spost12,0,0,0,0,0,0
Bruehl,spost13,0,0,0,0,0,0
