,,spre1,spre2,spre3,spre4,spre5,spre6
Ahaus,spost1,1,1,1,1,1,1
Ahaus,spost2,0,0,0,0,0,0
Ahaus,spost3,0,0,0,0,1,0
Ahaus,spost4,0,0,0,0,0,0
Ahaus,spost5,0,0,1,1,1,0
Ahaus,spost6,0,0,0,0,0,0
Ahaus,spost7,0,0,1,0,0,0
Ahaus,spost8,0,0,0,0,0,0
Ahaus,spost9,0,0,0,0,0,0
Ahaus,spost10,0,0,0,0,0,0
Ahaus,spost11,0,0,0,0,0,0
Ahaus,spost12,0,0,1,0,0,1
Ahaus,spost13,0,0,1,1,0,0
Ahaus,spost14,0,0,0,0,1,0
Ahaus,spost15,0,0,0,0,0,0
Ahaus,spost16,0,0,1,0,1,0
Ahaus,spost17,0,0,0,0,0,0
Ahaus,spost18,0,0,0,0,0,1
Ahaus,spost19,0,0,0,0,0,0
Ahaus,spost20,0,0,0,0,0,0
Ahaus,spost21,0,0,0,1,1,0
Ahaus,spost22,0,0,1,0,0,0
Ahaus,spost23,0,1,0,0,0,1
Ahaus,spost24,0,0,0,0,0,0
Ahaus,spost25,0,0,0,0,0,0
Ahaus,spost26,0,0,0,0,0,0
Ahaus,spost27,0,0,0,0,0,0
Ahaus,spost28,0,1,0,0,0,1
Ahaus,spost29,0,0,0,0,0,0
Ahaus,spost30,0,0,0,0,0,0
Ahaus,spost31,0,0,0,0,0,0
Ahaus,spost32,0,0,0,0,0,0
Ahaus,spost33,0,1,1,0,0,1
Ahaus,spost34,0,0,0,0,0,0
Ahaus,spost35,0,0,0,0,0,0
Ahaus,spost36,0,0,1,1,0,0
Ahaus,spost37,0,0,0,0,0,0
Ahaus,spost38,0,0,0,0,0,0
Ahaus,spost39,0,0,0,1,0,0
Ahaus,spost40,0,0,0,0,0,0
Ahaus,spost41,0,0,0,0,0,0
Ahaus,spost42,0,0,0,0,0,0
Ahaus,spost43,0,0,0,0,0,0
Ahaus,spost44,0,0,0,0,0,0
Ahaus,spost45,0,0,0,0,0,0
Ahaus,spost46,0,0,0,0,0,0
Ahaus,spost47,0,0,0,0,0,0
Ahaus,spost48,0,0,0,0,0,0
Ahaus,spost49,0,0,0,0,0,0
Ahaus,spost50,0,0,0,0,0,0
Ahaus,spost51,0,0,0,0,0,0
Ahaus,spost52,0,1,1,0,0,0
Ahaus,spost53,0,0,1,1,0,0
Ahaus,spost54,0,1,1,1,0,0
Ahaus,spost55,0,0,0,0,0,0
Beckum,spost1,1,1,1,1,1,1
Beckum,spost2,0,0,0,0,0,0
Beckum,spost3,0,0,0,0,1,0
Beckum,spost4,0,0,0,0,0,0
Beckum,spost5,0,0,1,1,1,0
Beckum,spost6,0,0,0,0,0,0
Beckum,spost7,0,0,1,0,0,0
Beckum,spost8,0,0,0,0,0,0
Beckum,spost9,0,0,0,0,0,0
Beckum,spost10,0,0,0,0,0,0
Beckum,spost11,0,0,0,0,0,0
Beckum,spost12,0,0,1,0,0,1
Beckum,spost13,0,0,1,1,0,0
Beckum,spost14,0,0,0,0,1,0
Beckum,spost15,0,0,0,0,0,0
Beckum,spost16,0,0,1,0,1,0
Beckum,spost17,0,0,0,0,0,0
Beckum,spost18,0,0,0,0,0,1
Beckum,spost19,0,0,0,0,0,0
Beckum,spost20,0,0,0,0,0,0
Beckum,spost21,0,0,0,1,1,0
Beckum,spost22,0,0,1,0,0,0
Beckum,spost23,0,1,0,0,0,1
Beckum,spost24,0,0,0,0,0,0
Beckum,spost25,0,0,0,0,0,0
Beckum,spost26,0,0,0,0,0,0
Beckum,spost27,0,0,0,0,0,0
Beckum,spost28,0,1,0,0,0,1
Beckum,spost29,0,0,0,0,0,0
Beckum,spost30,0,0,0,0,0,0
Beckum,spost31,0,0,0,0,0,0
Beckum,spost32,0,0,0,0,0,0
Beckum,spost33,0,1,1,0,0,1
Beckum,spost34,0,0,0,0,0,0
Beckum,spost35,0,0,0,0,0,0
Beckum,spost36,0,0,1,1,0,0
Beckum,spost37,0,0,0,0,0,0
Beckum,spost38,0,0,0,0,0,0
Beckum,spost39,0,0,0,1,0,0
Beckum,spost40,0,0,0,0,0,0
Beckum,spost41,0,0,0,0,0,0
Beckum,spost42,0,0,0,0,0,0
Beckum,spost43,0,0,0,0,0,0
Beckum,spost44,0,0,0,0,0,0
Beckum,spost45,0,0,0,0,0,0
Beckum,spost46,0,0,0,0,0,0
Beckum,spost47,0,0,0,0,0,0
Beckum,spost48,0,0,0,0,0,0
Beckum,spost49,0,0,0,0,0,0
Beckum,spost50,0,0,0,0,0,0
Beckum,spost51,0,0,0,0,0,0
Beckum,spost52,0,1,1,0,0,0
Beckum,spost53,0,0,1,1,0,0
Beckum,spost54,0,1,1,1,0,0
Beckum,spost55,0,0,0,0,0,0
Bruehl,spost1,1,1,1,1,1,1
Bruehl,spost2,0,0,0,0,0,0
Bruehl,spost3,0,0,0,0,1,0
Bruehl,spost4,0,0,0,0,0,0
Bruehl,spost5,0,0,1,1,1,0
Bruehl,spost6,0,0,0,0,0,0
Bruehl,spost7,0,0,1,0,0,0
Bruehl,spost8,0,0,0,0,0,0
Bruehl,spost9,0,0,0,0,0,0
Bruehl,spost10,0,0,0,0,0,0
Bruehl,spost11,0,0,0,0,0,0
Bruehl,spost12,0,0,1,0,0,1
Bruehl,spost13,0,0,1,1,0,0
Bruehl,spost14,0,0,0,0,1,0
Bruehl,spost15,0,0,0,0,0,0
Bruehl,spost16,0,0,1,0,1,0
Bruehl,spost17,0,0,0,0,0,0
Bruehl,spost18,0,0,0,0,0,1
Bruehl,spost19,0,0,0,0,0,0
Bruehl,spost20,0,0,0,0,0,0
Bruehl,spost21,0,0,0,1,1,0
Bruehl,spost22,0,0,1,0,0,0
Bruehl,spost23,0,1,0,0,0,1
Bruehl,spost24,0,0,0,0,0,0
Bruehl,spost25,0,0,0,0,0,0
Bruehl,spost26,0,0,0,0,0,0
Bruehl,spost27,0,0,0,0,0,0
Bruehl,spost28,0,1,0,0,0,1
Bruehl,spost29,0,0,0,0,0,0
Bruehl,spost30,0,0,0,0,0,0
Bruehl,spost31,0,0,0,0,0,0
Bruehl,spost32,0,0,0,0,0,0
Bruehl,spost33,0,1,1,0,0,1
Bruehl,spost34,0,0,0,0,0,0
Bruehl,spost35,0,0,0,0,0,0
Bruehl,spost36,0,0,1,1,0,0
Bruehl,spost37,0,0,0,0,0,0
Bruehl,spost38,0,0,0,0,0,0
Bruehl,spost39,0,0,0,1,0,0
Bruehl,spost40,0,0,0,0,0,0
Bruehl,spost41,0,0,0,0,0,0
Bruehl,spost42,0,0,0,0,0,0
Bruehl,spost43,0,0,0,0,0,0
Bruehl,spost44,0,0,0,0,0,0
Bruehl,spost45,0,0,0,0,0,0
Bruehl,spost46,0,0,0,0,0,0
Bruehl,spost47,0,0,0,0,0,0
Bruehl,spost48,0,0,0,0,0,0
Bruehl,spost49,0,0,0,0,0,0
Bruehl,spost50,0,0,0,0,0,0
Bruehl,spost51,0,0,0,0,0,0
Bruehl,spost52,0,1,1,0,0,0
Bruehl,spost53,0,0,1,1,0,0
Bruehl,spost54,0,1,1,1,0,0
Bruehl,spost55,0,0,0,0,0,0
Hoevelhof,spost1,1,1,1,1,1,1
Hoevelhof,spost2,0,0,0,0,0,0
Hoevelhof,spost3,0,0,0,0,1,0
Hoevelhof,spost4,0,0,0,0,0,0
Hoevelhof,spost5,0,0,1,1,1,0
Hoevelhof,spost6,0,0,0,0,0,0
Hoevelhof,spost7,0,0,1,0,0,0
Hoevelhof,spost8,0,0,0,0,0,0
Hoevelhof,spost9,0,0,0,0,0,0
Hoevelhof,spost10,0,0,0,0,0,0
Hoevelhof,spost11,0,0,0,0,0,0
Hoevelhof,spost12,0,0,1,0,0,1
Hoevelhof,spost13,0,0,1,1,0,0
Hoevelhof,spost14,0,0,0,0,1,0
Hoevelhof,spost15,0,0,0,0,0,0
Hoevelhof,spost16,0,0,1,0,1,0
Hoevelhof,spost17,0,0,0,0,0,0
Hoevelhof,spost18,0,0,0,0,0,1
Hoevelhof,spost19,0,0,0,0,0,0
Hoevelhof,spost20,0,0,0,0,0,0
Hoevelhof,spost21,0,0,0,1,1,0
Hoevelhof,spost22,0,0,1,0,0,0
Hoevelhof,spost23,0,1,0,0,0,1
Hoevelhof,spost24,0,0,0,0,0,0
Hoevelhof,spost25,0,0,0,0,0,0
Hoevelhof,spost26,0,0,0,0,0,0
Hoevelhof,spost27,0,0,0,0,0,0
Hoevelhof,spost28,0,1,0,0,0,1
Hoevelhof,spost29,0,0,0,0,0,0
Hoevelhof,spost30,0,0,0,0,0,0
Hoevelhof,spost31,0,0,0,0,0,0
Hoevelhof,spost32,0,0,0,0,0,0
Hoevelhof,spost33,0,1,1,0,0,1
Hoevelhof,spost34,0,0,0,0,0,0
Hoevelhof,spost35,0,0,0,0,0,0
Hoevelhof,spost36,0,0,1,1,0,0
Hoevelhof,spost37,0,0,0,0,0,0
Hoevelhof,spost38,0,0,0,0,0,0
Hoevelhof,spost39,0,0,0,1,0,0
Hoevelhof,spost40,0,0,0,0,0,0
Hoevelhof,spost41,0,0,0,0,0,0
Hoevelhof,spost42,0,0,0,0,0,0
Hoevelhof,spost43,0,0,0,0,0,0
Hoevelhof,spost44,0,0,0,0,0,0
Hoevelhof,spost45,0,0,0,0,0,0
Hoevelhof,spost46,0,0,0,0,0,0
Hoevelhof,spost47,0,0,0,0,0,0
Hoevelhof,spost48,0,0,0,0,0,0
Hoevelhof,spost49,0,0,0,0,0,0
Hoevelhof,spost50,0,0,0,0,0,0
Hoevelhof,spost51,0,0,0,0,0,0
Hoevelhof,spost52,0,1,1,0,0,0
Hoevelhof,spost53,0,0,1,1,0,0
Hoevelhof,spost54,0,1,1,1,0,0
Hoevelhof,spost55,0,0,0,0,0,0
Hopsten,spost1,1,1,1,1,1,1
Hopsten,spost2,0,0,0,0,0,0
Hopsten,spost3,0,0,0,0,1,0
Hopsten,spost4,0,0,0,0,0,0
Hopsten,spost5,0,0,1,1,1,0
Hopsten,spost6,0,0,0,0,0,0
Hopsten,spost7,0,0,1,0,0,0
Hopsten,spost8,0,0,0,0,0,0
Hopsten,spost9,0,0,0,0,0,0
Hopsten,spost10,0,0,0,0,0,0
Hopsten,spost11,0,0,0,0,0,0
Hopsten,spost12,0,0,1,0,0,1
Hopsten,spost13,0,0,1,1,0,0
Hopsten,spost14,0,0,0,0,1,0
Hopsten,spost15,0,0,0,0,0,0
Hopsten,spost16,0,0,1,0,1,0
Hopsten,spost17,0,0,0,0,0,0
Hopsten,spost18,0,0,0,0,0,1
Hopsten,spost19,0,0,0,0,0,0
Hopsten,spost20,0,0,0,0,0,0
Hopsten,spost21,0,0,0,1,1,0
Hopsten,spost22,0,0,1,0,0,0
Hopsten,spost23,0,1,0,0,0,1
Hopsten,spost24,0,0,0,0,0,0
Hopsten,spost25,0,0,0,0,0,0
Hopsten,spost26,0,0,0,0,0,0
Hopsten,spost27,0,0,0,0,0,0
Hopsten,spost28,0,1,0,0,0,1
Hopsten,spost29,0,0,0,0,0,0
Hopsten,spost30,0,0,0,0,0,0
Hopsten,spost31,0,0,0,0,0,0
Hopsten,spost32,0,0,0,0,0,0
Hopsten,spost33,0,1,1,0,0,1
Hopsten,spost34,0,0,0,0,0,0
Hopsten,spost35,0,0,0,0,0,0
Hopsten,spost36,0,0,1,1,0,0
Hopsten,spost37,0,0,0,0,0,0
Hopsten,spost38,0,0,0,0,0,0
Hopsten,spost39,0,0,0,1,0,0
Hopsten,spost40,0,0,0,0,0,0
Hopsten,spost41,0,0,0,0,0,0
Hopsten,spost42,0,0,0,0,0,0
Hopsten,spost43,0,0,0,0,0,0
Hopsten,spost44,0,0,0,0,0,0
Hopsten,spost45,0,0,0,0,0,0
Hopsten,spost46,0,0,0,0,0,0
Hopsten,spost47,0,0,0,0,0,0
Hopsten,spost48,0,0,0,0,0,0
Hopsten,spost49,0,0,0,0,0,0
Hopsten,spost50,0,0,0,0,0,0
Hopsten,spost51,0,0,0,0,0,0
Hopsten,spost52,0,1,1,0,0,0
Hopsten,spost53,0,0,1,1,0,0
Hopsten,spost54,0,1,1,1,0,0
Hopsten,spost55,0,0,0,0,0,0
Lippetal,spost1,1,1,1,1,1,1
Lippetal,spost2,0,0,0,0,0,0
Lippetal,spost3,0,0,0,0,1,0
Lippetal,spost4,0,0,0,0,0,0
Lippetal,spost5,0,0,1,1,1,0
Lippetal,spost6,0,0,0,0,0,0
Lippetal,spost7,0,0,1,0,0,0
Lippetal,spost8,0,0,0,0,0,0
Lippetal,spost9,0,0,0,0,0,0
Lippetal,spost10,0,0,0,0,0,0
Lippetal,spost11,0,0,0,0,0,0
Lippetal,spost12,0,0,1,0,0,1
Lippetal,spost13,0,0,1,1,0,0
Lippetal,spost14,0,0,0,0,1,0
Lippetal,spost15,0,0,0,0,0,0
Lippetal,spost16,0,0,1,0,1,0
Lippetal,spost17,0,0,0,0,0,0
Lippetal,spost18,0,0,0,0,0,1
Lippetal,spost19,0,0,0,0,0,0
Lippetal,spost20,0,0,0,0,0,0
Lippetal,spost21,0,0,0,1,1,0
Lippetal,spost22,0,0,1,0,0,0
Lippetal,spost23,0,1,0,0,0,1
Lippetal,spost24,0,0,0,0,0,0
Lippetal,spost25,0,0,0,0,0,0
Lippetal,spost26,0,0,0,0,0,0
Lippetal,spost27,0,0,0,0,0,0
Lippetal,spost28,0,1,0,0,0,1
Lippetal,spost29,0,0,0,0,0,0
Lippetal,spost30,0,0,0,0,0,0
Lippetal,spost31,0,0,0,0,0,0
Lippetal,spost32,0,0,0,0,0,0
Lippetal,spost33,0,1,1,0,0,1
Lippetal,spost34,0,0,0,0,0,0
Lippetal,spost35,0,0,0,0,0,0
Lippetal,spost36,0,0,1,1,0,0
Lippetal,spost37,0,0,0,0,0,0
Lippetal,spost38,0,0,0,0,0,0
Lippetal,spost39,0,0,0,1,0,0
Lippetal,spost40,0,0,0,0,0,0
Lippetal,spost41,0,0,0,0,0,0
Lippetal,spost42,0,0,0,0,0,0
Lippetal,spost43,0,0,0,0,0,0
Lippetal,spost44,0,0,0,0,0,0
Lippetal,spost45,0,0,0,0,0,0
Lippetal,spost46,0,0,0,0,0,0
Lippetal,spost47,0,0,0,0,0,0
Lippetal,spost48,0,0,0,0,0,0
Lippetal,spost49,0,0,0,0,0,0
Lippetal,spost50,0,0,0,0,0,0
Lippetal,spost51,0,0,0,0,0,0
Lippetal,spost52,0,1,1,0,0,0
Lippetal,spost53,0,0,1,1,0,0
Lippetal,spost54,0,1,1,1,0,0
Lippetal,spost55,0,0,0,0,0,0
Nottuln,spost1,1,1,1,1,1,1
Nottuln,spost2,0,0,0,0,0,0
Nottuln,spost3,0,0,0,0,1,0
Nottuln,spost4,0,0,0,0,0,0
Nottuln,spost5,0,0,1,1,1,0
Nottuln,spost6,0,0,0,0,0,0
Nottuln,spost7,0,0,1,0,0,0
Nottuln,spost8,0,0,0,0,0,0
Nottuln,spost9,0,0,0,0,0,0
Nottuln,spost10,0,0,0,0,0,0
Nottuln,spost11,0,0,0,0,0,0
Nottuln,spost12,0,0,1,0,0,1
Nottuln,spost13,0,0,1,1,0,0
